8.492597  0.920276  6.000000
8.492597  1.320287  6.000000
8.492597  1.720298  6.000000
8.492597  2.120308  6.000000
8.492597  2.520319  6.000000
8.492597  2.920330  6.000000
8.492597  3.320340  6.000000
8.492597  3.720351  6.000000
8.492597  4.120362  3.974677
8.492597  4.520373  2.924495
8.492597  4.920383  2.693672
8.492597  5.320394  2.247714
8.492597  5.720405  2.394583
8.492597  6.120415  2.470110
8.492597  6.520426  2.821584
8.492597  6.920437  3.120673
8.492597  7.320447  2.821584
8.492597  7.720458  3.974677
8.492597  8.120469  4.401679
8.492597  8.520480  6.000000
8.492597  8.920490  6.000000
9.107521  0.920276  6.000000
9.107521  1.320287  6.000000
9.107521  1.720298  6.000000
9.107521  2.120308  6.000000
9.107521  2.520319  6.000000
9.107521  2.920330  6.000000
9.107521  3.320340  6.000000
9.107521  3.720351  6.000000
9.107521  4.120362  2.084654
9.107521  4.520373  1.209528
9.107521  4.920383  0.770530
9.107521  5.320394  0.645062
9.107521  5.720405  0.729501
9.107521  6.120415  0.757101
9.107521  6.520426  1.005223
9.107521  6.920437  1.528845
9.107521  7.320447  1.733803
9.107521  7.720458  2.327312
9.107521  8.120469  2.870893
9.107521  8.520480  4.401679
9.107521  8.920490  6.000000
9.722445  0.920276  6.000000
9.722445  1.320287  4.401679
9.722445  1.720298  4.401679
9.722445  2.120308  6.000000
9.722445  2.520319  6.000000
9.722445  2.920330  6.000000
9.722445  3.320340  6.000000
9.722445  3.720351  2.775931
9.722445  4.120362  1.248824
9.722445  4.520373  0.574507
9.722445  4.920383  0.183734
9.722445  5.320394  0.034469
9.722445  5.720405  0.000000
9.722445  6.120415  0.175281
9.722445  6.520426  0.383852
9.722445  6.920437  0.720048
9.722445  7.320447  1.087483
9.722445  7.720458  1.793328
9.722445  8.120469  2.775931
9.722445  8.520480  4.401679
9.722445  8.920490  6.000000
10.337369  0.920276  6.000000
10.337369  1.320287  4.401679
10.337369  1.720298  3.547675
10.337369  2.120308  3.724897
10.337369  2.520319  6.000000
10.337369  2.920330  6.000000
10.337369  3.320340  3.974677
10.337369  3.720351  2.418744
10.337369  4.120362  1.179142
10.337369  4.520373  0.451785
10.337369  4.920383  0.215987
10.337369  5.320394  0.092618
10.337369  5.720405  0.020750
10.337369  6.120415  0.148741
10.337369  6.520426  0.391143
10.337369  6.920437  0.697030
10.337369  7.320447  1.038392
10.337369  7.720458  1.643490
10.337369  8.120469  2.621113
10.337369  8.520480  3.547675
