0.821997 -3.27 lig_1.mol2	  
0.816775 -7.67 lig_2.mol2	  
0.590567 -6.95 lig_3.mol2	  
0.556069 -6.42 lig_4.mol2	  
0.421703 -6.43 lig_5.mol2	  
0.821119 -6.50 lig_6.mol2	  
0.403484 -7.56 lig_7.mol2	  
0.293235 -7.46 lig_8.mol2	  
0.399682 -6.66 lig_9.mol2	  
0.672352 -6.45 lig_10.mol2	  
0.401842 -6.42 lig_11.mol2	  
0.537956 -6.54 lig_12.mol2	  
0.412702 -6.65 lig_13.mol2	  
0.558207 -6.90 lig_14.mol2	  
0.663651 -6.96 lig_15.mol2	  
0.545455 -7.63 lig_16.mol2	  
0.554301 -6.95 lig_17.mol2	  
0.401326 -6.47 lig_18.mol2	  
0.606128 -7.05 lig_19.mol2	  
0.297425 -6.43 lig_20.mol2	  
0.501432 -6.72 lig_21.mol2	  
0.573716 -6.75 lig_22.mol2	  
0.435603 -6.40 lig_23.mol2	  
0.399197 -7.00 lig_24.mol2	  
