# 1st: ligands' name	 2st: binding score (kcal/mol)
lig_1.mol2	  -6.21
lig_10.mol2	  -7.19
lig_11.mol2	  -15.75
lig_2.mol2	  -7.07
lig_3.mol2	  -6.79
lig_4.mol2	  -6.48
lig_5.mol2	  -7.57
lig_6.mol2	  -6.75
lig_7.mol2	  -7.48
lig_8.mol2	  -7.36
lig_9.mol2	  -7.17
